texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
estándar mercado calidad promedio regular,neutro,"['estand', 'merc', 'calid', 'promedi', 'regul']",estand merc calid promedi regul,neutro,neutro
tremendamente volveré comprar muy definitivamente satisfecho,positivo,"['tremend', 'volv', 'compr', 'definit', 'satisfech']",tremend volv compr definit satisfech,positivo,positivo
excepcional magnífico producto calidad premium,positivo,"['excepcional', 'magnif', 'product', 'calid', 'premium']",excepcional magnif product calid premium,positivo,positivo
sin duda opción sobresaliente mejor mercado,positivo,"['dud', 'opcion', 'sobresalient', 'mejor', 'merc']",dud opcion sobresalient mejor merc,positivo,positivo
engañosa publicidad no cumple decepcionante absolutamente promete,negativo,"['engañ', 'public', 'cumpl', 'decepcion', 'absolut', 'promet']",engañ public cumpl decepcion absolut promet,negativo,negativo
bajo patético expectativas sin duda defraudado rendimiento,negativo,"['baj', 'patet', 'expect', 'dud', 'defraud', 'rendimient']",baj patet expect dud defraud rendimient,negativo,negativo
patético sin duda expectativas rendimiento defraudado bajo,negativo,"['patet', 'dud', 'expect', 'rendimient', 'defraud', 'baj']",patet dud expect rendimient defraud baj,negativo,negativo
ciertamente pérdida recomiendo tiempo no dinero,negativo,"['ciert', 'perd', 'recom', 'tiemp', 'diner']",ciert perd recom tiemp diner,negativo,negativo
fraudulento barata falsificado producto imitación,negativo,"['fraudulent', 'barat', 'falsific', 'product', 'imit']",fraudulent barat falsific product imit,negativo,negativo
lujos funcional ciertamente simple básico sin,neutro,"['luj', 'funcional', 'ciert', 'simpl', 'basic']",luj funcional ciert simpl basic,neutro,neutro
perfecto estrellas cinco esperaba definitivamente exactamente,positivo,"['perfect', 'estrell', 'cinc', 'esper', 'definit', 'exact']",perfect estrell cinc esper definit exact,positivo,positivo
arrepentido vida peor nefasto compra,negativo,"['arrepent', 'vid', 'peor', 'nefast', 'compr']",arrepent vid peor nefast compr,negativo,negativo
mercado estándar promedio calidad regular,neutro,"['merc', 'estand', 'promedi', 'calid', 'regul']",merc estand promedi calid regul,neutro,neutro
lamentable sobrevalorado producto mediocre caro,negativo,"['lament', 'sobrevalor', 'product', 'mediocr', 'car']",lament sobrevalor product mediocr car,negativo,negativo
genial satisfecho perfectamente funciones cumple,positivo,"['genial', 'satisfech', 'perfect', 'funcion', 'cumpl']",genial satisfech perfect funcion cumpl,positivo,positivo
común ordinario corriente impresionante ciertamente nada,neutro,"['comun', 'ordinari', 'corrient', 'impresion', 'ciert']",comun ordinari corrient impresion ciert,neutro,neutro
destacable más sin descripción cumple,neutro,"['destac', 'descripcion', 'cumpl']",destac descripcion cumpl,neutro,neutro
está bien producto especial nada cumple,neutro,"['bien', 'product', 'especial', 'cumpl']",bien product especial cumpl,neutro,neutro
muy justo espectacular contento buscaba,positivo,"['just', 'espectacul', 'content', 'busc']",just espectacul content busc,positivo,positivo
regular mercado promedio calidad estándar,neutro,"['regul', 'merc', 'promedi', 'calid', 'estand']",regul merc promedi calid estand,neutro,neutro
calidad inversión maravilloso pena alta totalmente vale,positivo,"['calid', 'inversion', 'maravill', 'pen', 'alta', 'total', 'val']",calid inversion maravill pen alta total val,positivo,positivo
mercado mejor opción sobresaliente duda sin,positivo,"['merc', 'mejor', 'opcion', 'sobresalient', 'dud']",merc mejor opcion sobresalient dud,positivo,positivo
inversión mejor recomiendo ampliamente hecho sensacional,positivo,"['inversion', 'mejor', 'recom', 'ampli', 'hech', 'sensacional']",inversion mejor recom ampli hech sensacional,positivo,positivo
pésimo funciona hecho producto completamente no mal,negativo,"['pesim', 'funcion', 'hech', 'product', 'complet', 'mal']",pesim funcion hech product complet mal,negativo,negativo
frágil construcción materiales baratos pobre,negativo,"['fragil', 'construccion', 'material', 'barat', 'pobr']",fragil construccion material barat pobr,negativo,negativo
nada bien especial muy está producto cumple,neutro,"['bien', 'especial', 'product', 'cumpl']",bien especial product cumpl,neutro,neutro
esperaba más aceptable algo completo aunque,neutro,"['esper', 'acept', 'complet', 'aunqu']",esper acept complet aunqu,neutro,neutro
construcción frágil baratos materiales pobre,negativo,"['construccion', 'fragil', 'barat', 'material', 'pobr']",construccion fragil barat material pobr,negativo,negativo
superó compra muy satisfecho expectativas,positivo,"['super', 'compr', 'satisfech', 'expect']",super compr satisfech expect,positivo,positivo
aceptable mínimas completamente necesidades suficiente cubre,neutro,"['acept', 'minim', 'complet', 'neces', 'suficient', 'cubr']",acept minim complet neces suficient cubr,neutro,neutro
formidable cumple promesas honesto vendedor,positivo,"['formid', 'cumpl', 'promes', 'honest', 'vendedor']",formid cumpl promes honest vendedor,positivo,positivo
aunque esperaba aceptable algo definitivamente más completo,neutro,"['aunqu', 'esper', 'acept', 'definit', 'complet']",aunqu esper acept definit complet,neutro,neutro
construcción calidad impresionante excelente ciertamente durabilidad,positivo,"['construccion', 'calid', 'impresion', 'excelent', 'ciert', 'durabil']",construccion calid impresion excelent ciert durabil,positivo,positivo
nada impresionante común ordinario totalmente corriente,neutro,"['impresion', 'comun', 'ordinari', 'total', 'corrient']",impresion comun ordinari total corrient,neutro,neutro
vale alta muy calidad pena inversión maravilloso,positivo,"['val', 'alta', 'calid', 'pen', 'inversion', 'maravill']",val alta calid pen inversion maravill,positivo,positivo
sin decente realmente problemas particular funciona,neutro,"['decent', 'realment', 'problem', 'particul', 'funcion']",decent realment problem particul funcion,neutro,neutro
fraudulento producto barata absolutamente falsificado imitación,negativo,"['fraudulent', 'product', 'barat', 'absolut', 'falsific', 'imit']",fraudulent product barat absolut falsific imit,negativo,negativo
más cumple destacable descripción sin,neutro,"['cumpl', 'destac', 'descripcion']",cumpl destac descripcion,neutro,neutro
algo esperaba más completo aceptable aunque,neutro,"['esper', 'complet', 'acept', 'aunqu']",esper complet acept aunqu,neutro,neutro
decepcionante publicidad cumple engañosa no promete,negativo,"['decepcion', 'public', 'cumpl', 'engañ', 'promet']",decepcion public cumpl engañ promet,negativo,negativo
malas tiene ok está buenas ciertamente cosas,neutro,"['mal', 'buen', 'ciert', 'cos']",mal buen ciert cos,neutro,neutro
sirve emergencia solución temporal realmente pasable,neutro,"['sirv', 'emergent', 'solucion', 'temporal', 'realment', 'pasabl']",sirv emergent solucion temporal realment pasabl,neutro,neutro
básica esperada normal cumple función,neutro,"['basic', 'esper', 'normal', 'cumpl', 'funcion']",basic esper normal cumpl funcion,neutro,neutro
increíblemente bueno resistente duradero confiable,positivo,"['increibl', 'buen', 'resistent', 'durader', 'confiabl']",increibl buen resistent durader confiabl,positivo,positivo
decepcionante uso muy calidad primer mala rompió,negativo,"['decepcion', 'uso', 'calid', 'prim', 'mal', 'romp']",decepcion uso calid prim mal romp,negativo,negativo
uso absolutamente solución diario problema perfecto brillante,positivo,"['uso', 'absolut', 'solucion', 'diari', 'problem', 'perfect', 'brillant']",uso absolut solucion diari problem perfect brillant,positivo,positivo
magnífico calidad excepcional producto premium,positivo,"['magnif', 'calid', 'excepcional', 'product', 'premium']",magnif calid excepcional product premium,positivo,positivo
compra muy satisfecho expectativas superó,positivo,"['compr', 'satisfech', 'expect', 'super']",compr satisfech expect super,positivo,positivo
descripción sin cumple más destacable,neutro,"['descripcion', 'cumpl', 'destac']",descripcion cumpl destac,neutro,neutro
precio injusto calidad completamente desproporcionado inaceptable,negativo,"['preci', 'injust', 'calid', 'complet', 'desproporcion', 'inacept']",preci injust calid complet desproporcion inacept,negativo,negativo
nulo bastante servicio deplorable cliente atención,negativo,"['nul', 'bastant', 'servici', 'deplor', 'client', 'atencion']",nul bastant servici deplor client atencion,negativo,negativo
ciertamente nada impresionante común ordinario corriente,neutro,"['ciert', 'impresion', 'comun', 'ordinari', 'corrient']",ciert impresion comun ordinari corrient,neutro,neutro
absolutamente patético bajo defraudado rendimiento expectativas,negativo,"['absolut', 'patet', 'baj', 'defraud', 'rendimient', 'expect']",absolut patet baj defraud rendimient expect,negativo,negativo
básico propósito extraordinario bastante adecuado nada,neutro,"['basic', 'proposit', 'extraordinari', 'bastant', 'adecu']",basic proposit extraordinari bastant adecu,neutro,neutro
decepcionante rompió primer calidad mala uso muy,negativo,"['decepcion', 'romp', 'prim', 'calid', 'mal', 'uso']",decepcion romp prim calid mal uso,negativo,negativo
satisfecho volveré definitivamente comprar tremendamente,positivo,"['satisfech', 'volv', 'definit', 'compr', 'tremend']",satisfech volv definit compr tremend,positivo,positivo
duda opción mercado sobresaliente mejor sin,positivo,"['dud', 'opcion', 'merc', 'sobresalient', 'mejor']",dud opcion merc sobresalient mejor,positivo,positivo
sensacional mejor inversión ampliamente recomiendo hecho,positivo,"['sensacional', 'mejor', 'inversion', 'ampli', 'recom', 'hech']",sensacional mejor inversion ampli recom hech,positivo,positivo
cumple no decepcionante publicidad promete engañosa,negativo,"['cumpl', 'decepcion', 'public', 'promet', 'engañ']",cumpl decepcion public promet engañ,negativo,negativo
evitar inseguro peligroso producto abominable,negativo,"['evit', 'insegur', 'peligr', 'product', 'abomin']",evit insegur peligr product abomin,negativo,negativo
esperado calidad basura deficiente inferior,negativo,"['esper', 'calid', 'basur', 'deficient', 'inferior']",esper calid basur deficient inferior,negativo,negativo
imitación fraudulento producto falsificado muy barata,negativo,"['imit', 'fraudulent', 'product', 'falsific', 'barat']",imit fraudulent product falsific barat,negativo,negativo
definitivamente calidad regular mercado promedio estándar,neutro,"['definit', 'calid', 'regul', 'merc', 'promedi', 'estand']",definit calid regul merc promedi estand,neutro,neutro
sin duda duradero increíblemente resistente bueno confiable,positivo,"['dud', 'durader', 'increibl', 'resistent', 'buen', 'confiabl']",dud durader increibl resistent buen confiabl,positivo,positivo
mínimas cubre aceptable necesidades suficiente,neutro,"['minim', 'cubr', 'acept', 'neces', 'suficient']",minim cubr acept neces suficient,neutro,neutro
pobre construcción frágil materiales baratos,negativo,"['pobr', 'construccion', 'fragil', 'material', 'barat']",pobr construccion fragil material barat,negativo,negativo
satisfecho sin duda funciones cumple genial perfectamente,positivo,"['satisfech', 'dud', 'funcion', 'cumpl', 'genial', 'perfect']",satisfech dud funcion cumpl genial perfect,positivo,positivo
desempeño esperado gama media mediano,neutro,"['desempeñ', 'esper', 'gam', 'medi', 'median']",desempeñ esper gam medi median,neutro,neutro
construcción frágil baratos materiales pobre,negativo,"['construccion', 'fragil', 'barat', 'material', 'pobr']",construccion fragil barat material pobr,negativo,negativo
cumple bastante descripción más destacable sin,neutro,"['cumpl', 'bastant', 'descripcion', 'destac']",cumpl bastant descripcion destac,neutro,neutro
funcional sin básico lujos simple,neutro,"['funcional', 'basic', 'luj', 'simpl']",funcional basic luj simpl,neutro,neutro
totalmente está especial nada bien cumple producto,neutro,"['total', 'especial', 'bien', 'cumpl', 'product']",total especial bien cumpl product,neutro,neutro
durabilidad calidad impresionante excelente construcción,positivo,"['durabil', 'calid', 'impresion', 'excelent', 'construccion']",durabil calid impresion excelent construccion,positivo,positivo
honesto promesas vendedor cumple formidable,positivo,"['honest', 'promes', 'vendedor', 'cumpl', 'formid']",honest promes vendedor cumpl formid,positivo,positivo
nulo deplorable servicio atención cliente,negativo,"['nul', 'deplor', 'servici', 'atencion', 'client']",nul deplor servici atencion client,negativo,negativo
excelente definitivamente construcción impresionante calidad durabilidad,positivo,"['excelent', 'definit', 'construccion', 'impresion', 'calid', 'durabil']",excelent definit construccion impresion calid durabil,positivo,positivo
endeble construcción calidad espantoso fácil absolutamente rompe,negativo,"['endebl', 'construccion', 'calid', 'espant', 'facil', 'absolut', 'romp']",endebl construccion calid espant facil absolut romp,negativo,negativo
honesto promesas vendedor cumple formidable,positivo,"['honest', 'promes', 'vendedor', 'cumpl', 'formid']",honest promes vendedor cumpl formid,positivo,positivo
aceptable algo aunque más completo esperaba,neutro,"['acept', 'aunqu', 'complet', 'esper']",acept aunqu complet esper,neutro,neutro
básico simple funcional lujos sin,neutro,"['basic', 'simpl', 'funcional', 'luj']",basic simpl funcional luj,neutro,neutro
estándar mercado calidad promedio sin duda regular,neutro,"['estand', 'merc', 'calid', 'promedi', 'dud', 'regul']",estand merc calid promedi dud regul,neutro,neutro
producto premium magnífico excepcional calidad,positivo,"['product', 'premium', 'magnif', 'excepcional', 'calid']",product premium magnif excepcional calid,positivo,positivo
exactamente estrellas cinco esperaba perfecto,positivo,"['exact', 'estrell', 'cinc', 'esper', 'perfect']",exact estrell cinc esper perfect,positivo,positivo
muy expectativas superó satisfecho compra,positivo,"['expect', 'super', 'satisfech', 'compr']",expect super satisfech compr,positivo,positivo
bastante inseguro abominable producto evitar peligroso,negativo,"['bastant', 'insegur', 'abomin', 'product', 'evit', 'peligr']",bastant insegur abomin product evit peligr,negativo,negativo
